1: 人有人的玩法，狗有狗的玩法。狗玩游戏就是让富豪遛的。不想被遛狗就不要玩
321: 用户持续减少中，组队越来越难组。马上变一个无法通过的单机版游戏。有3个号1转98级男鬼1转男魔目前在体验苹果女人号80级。感觉很糟糕装备不好没人陪。要想玩好这游戏得去学学传销！

322: 你们能解释地煞是什么？等了一个钟头。刚出来没玩家就被杀了?是鬼吗？是不是你们内部杀的啊。。还是我不懂。

323: 你大爷的大话。地煞是不是你们内部搞得鬼。。没看见一个人就在杀。是鬼吗。

324: 战斗有延迟，希望尽快修复！

325: 好玩(ฅ>ω<*ฅ)

326: 怎么没大唐歌飞啊

327: 最新区是那个？

328: 能告诉我闪退是怎么回事么？一打到激烈处就退，小伙伴们都走光了。。。

329: 不是盗版，都是一个公司出的

330: 我手机掉线不能玩

331: 盗版梦幻西游

332: 现在组队都要仙器队.休闲贫民玩家伤不起了。

333: 还是很好玩的

334: 说是送神兽，到最后一看原来还少个字  是送神兽丹（给宝宝加经验而已）

335: 天界星河云海人真多两天都上不去

336: 今天有新区吗？

337: 不是说送神兽么？神兽呢？

338: 怎么老是闪退啊，卡的要死，以前好好好的，现在怎么了，求解决

339: 从开区到现在，只得了三个高级技能残页，还有比我更惨的么？

340: 垃圾游戏！光能充钱不能交易！任务单调浪费时间！交易系统更垃圾！国庆任务毛都得不到！游戏里的神兵啊仙气啊我看都是托！怎么不能给半星呢！我看这游戏就值半星！

341: 哈哈

342: 确实是垃圾游戏，劝新玩家不要充钱，先试玩两天，你会发现身边的朋友越来越少，而且只能充钱不能卖钱，游戏里面托超级多，一个垃圾游戏

343: 账号被盗角色被删除怎么恢复？

344: 小编是骗子微信上怎么没有大话西游

345: 11111地煞1星你们能打到吗？半夜5自己整5点坐等煞星出来就是观战？？这不是骗人吗？？？？

346: 没什么好说的。垃圾！就是骗钱游戏

347: 我都1转100了，要求开放自由交易，价格自定

348: 强烈要求开通自由交易，开通藏宝阁

349: 普通刷怪经验太低！任务太少了！银子太难赚了！老子有点失望

350: 转生系统真特么坑爹，劳资公测开始玩男鬼100了直接转世还男鬼才知道转生前要修正女魔血才厚，30大洋修正一次，你特么真会想，不修正的男鬼抗性真恶心，之前还说男鬼适合平民玩家，好吧！就这样三转下来就那几把血量牛逼一点的魔一把估计都抽干净了。还玩个吊吖。不要脸

351: 说好的送神兽呢？为毛一个浪淘沙都不送我啊！

352: 不错

353: 强烈要求减少抓鬼次数！！！从公测玩到现在真心不想玩了！抓鬼次数太多！耗时间，经验少！要是玩你这游戏的话就要在家里？如果出去就要带两充电宝？还有就是开放自由交易！而不是什么东西的价格都是由系统决定！！！最起码要可以讲价吧？反正问题很多！！！再玩几天还是这鸟样就卸载了！冲那几千块就拿给你们网易买棺材吧！！！

354: 什么时候开新区

355: 说好的关注给激活码呢？？？？

356: 网易垃圾，三星note3半小时闪退一次，从新登录，20分钟也登录不上，还是手机日期有问题，难道我的是火星元年？

357: 更新直接卡死机，能让玩吗

358: 安卓和苹果，是在一个服务器吗

359: 你们484傻？

360: 今天有新区木有

361: 送的神兽呢？毛都没见～不送就别打送，垃圾玩意

362: 没见过这么差的交易系统.神一般的差

363: 垃圾的大话，垃圾的网易

364: 骗子游戏，都1转了连毛都没给，还谎称送神兽

365: 神兽几率啊！加油

366: 神兽呢？在哪？

367: 神兽呢？

368: 啥鸡巴个破游戏，组个队都组不上

369: M只能360账号登录，不能用网易账号登录吗？

370: 跑不完的地图烧不完的钱

371: 我可以问下客服发的10月40号是什么时间吗？你们对这个问题怎么解释，是不是在欺骗玩家

372: 关注微信号怎么没有激活码

373: 请问这个收费吗？是不是也有点卡费用

374: 游戏登不上去。不给任何提示。就是登不上？为毛？

375: 根本没有神兽，骗人

376: 赞赞赞

377: 妈蛋，确定不是送神兽丹么？送神兽就是个骗人的噱头，还闪退，我也算是服了。

378: 还可以更新以后有点卡

379: 问下人界今天新区叫啥告诉下谢了

380: 新区叫啥名告诉下谢谢

381: 很不错

382: 我自从更新了就老是闪退

383: 请问你们闪退吗？

384: 完美运行，我的手机300块，一点不卡，也没掉

385: 客服送神兽是什么？回应下，谢谢

386: 滚鸡吧犊子 什么手机问题劳资s6  为什么老是闪掉 能处理么！

387: 送的是神兽丹增加召唤兽1000万经验

388: 期待结拜，结婚，200环，做天，交易，PK等系统开启，任务太少，升级慢，玩着玩着就不想玩了，

389: 期待200环，结拜，结婚，做天，交易等系统的开启，任务太少升级慢，每天就那几个任务，玩玩都没劲了

390: 送的是什么神兽，怎么获得？

391: 我不知道标题的送神兽是啥意思，不能结婚不能结拜是这个游戏最大的失败。

392: 应该是龙马吧？

393: 很好玩的很流畅，那些说游戏差的可以不玩没人求你玩，再有就说老掉的，那是你手机问题！

394: 什么破游戏，又是一个坑钱货

395: 我就想吐槽一下那个送神兽是什么意思？小黄金兽吗？

396: 我的手机是步步高vivoY23L刚买的新手机。tmd，10分钟总是卡机五六次。这什么游戏啊还能不能玩。

397: 一分钟闪退一次连续退了8次，还让人玩吗，破游戏。我手机是三星S6 不存在手机配置低问题。

398: 很好

399: 这游戏还行，就是太花钱

400: 为什么老是闪退？上去一会儿就掉。

401: 不要点卡的回合游戏当然会在物品交易方面做功夫了，不然都发了丁三石苦逼了

402: 应该出私人交易，不能迟早退！

403: 什么时候出来交易，

404: 多余的物品怎么处理？我去！！！

405: 为什么不能玩

406: 坑爹呢，手机挂着打宝图，充着电早上睡起来手机直接烧报废了！太坑了

407: 一直闪退

408: 有个问题一直纳闷，我的平板，手机玩游戏为什么充电不了。

409: 求任务！求经验！求金币！这一天刷个星能一下午都强不到一个这是玩游戏吗？

410: 我老玩家礼包怎么领不到消费了20000多点啊。给个解释

411: 一天银子就是固定的  多一点都没有  还怎么搞装备  难道这游戏是为土豪而量身打造的  建议平民不要来   建议打怪给银子  装备出售什么的   多的装备卖不掉扔不掉 占的一仓库都是 这一星是给我玩到98级男人的   务必忽视掉

412: 建议抓鬼次数少点   一天抓鬼都能把手机电池用坏  这是跟手机公司合作的游戏吗？   想当年大话这么有名   想在成这了   开启组队打怪  并经验增加

413: 一个区仙器什么的就只有那么几件  偶尔出来一件都是给传说中的人 谁知道有没有那人  只有冲钱才给仙器   建议高级装备升仙器  开交易系统   还有说高级宠物交易 那是喷的吗？

414: 礼包呢？？？？关注了也没有？？？？？

415: 出来个人说话，12点开服，现在都12点10分了，怎么还不让进？

416: 新区开了，为什么进不去

417: 12点了，新区怎么还不让进？

418: 新区什么时候开？？？？？

419: 什么时候开新区阿

420: 能不能把仙的法术伤害提高点，操任务都没人要，还玩毛啊，玩的蛋疼！

421: 技能不平衡

422: 怎么回事？？登了好几次了！居然进不去……

423: 客服出来！我擦！我那么辛苦升级到89经验长到快90级～今天以上线！擦！经验掉一半～什么意思

424: 礼包呢？

425: 为什么登不上？！从来都没发生过玩游戏都好好的

426: 什么破玩意，打个一星 蹬一晚上都没打到一个！！！   没看到人就被打了，能不能给解释下

427: 什么时候开交易系统

428: 什么时候新区啊

429: 回合制古风游戏的经典。从制作，画风，平衡，引导性，可玩性各方面来讲都是顶级的，因为有13年端游的沉淀，未来会不断更新，推荐。

430: 强烈要求开交易系统，不然老是被多宝赚去了！

431: 请问下多久开新区

432: 任务太少但是经验可观

433: 游戏'真心不错，如果有以前大话二宝宝内丹效果就更完美了，还有现在这泥巴太难看了把以前的泥巴形象弄来吧

434: 求新区

435: 求新区开区时间

436: 不想说别的， 卡的跟狗一样！！

437: 希望后期版本能修改，更人性化吧，建议把变身卡，坐骑，和屏蔽功能开发出来，人多的时候有点卡，还希望能给高等级升级留点活路，剧情任务一会儿就没了，所有任务仨小时就完了，然后……就没事可干了，没有活动时候真不知道该怎么升级？！

438: 每天特么蹲星几个小时还抢不到，就算我手残，但是你敢说你家星没有太少？

439: 游戏吧，大体味道没变，但是呢各种限制条件很蛋疼，包裹太小了，每天几个小时做完就不知道干啥了，每周的双也太少了点，两天就没了，所有物品不能线下交易，多宝还限制单价，这确实能防止盗号骗子，但却失去了很多可玩性，乏味了，最蛋疼的就是召唤兽的上架条件有点太苛刻了，蓝色以上品质可以接受，但你还要必须学习多个高级技能才可以上架#035，这不坑吗，你知道高级技能多少钱吗？还召唤兽位置只给三个，又没地方寄存这……

440: 很多留言提到游戏登录困难，我就没发生过一次(4G网)。目前玩到87级，觉得游戏界面和组队系统做得真心不错，还不会到处要你充钱，是个良心游戏。(相比之下，盛大腾讯联合发行的手机版传奇就太黑心了。)

441: 大话2刚出来那会儿就玩大话了，十几年前了，也算是个铁粉了，前段儿说要出手游很期待，这开区玩了几天，总体来说还行吧（如果你喜欢大话系列的话），说说心得吧，打开360大话官网吖，就有点蛋疼，新闻公告栏吧，一直不更新，开区公告栏说的不知所云，想找个区都没有，还官网貌似都看不到充值渠道，进客户端满屏的区全是推荐，也不知道哪是新开区哪是老区，我都是冒进了个区…，希望官网.论坛更新跟上。

442: 游戏很给力 但是自从更新后就一直闪退是我手机的问题吗 卡的 但是我还坚持玩 希望改进  支持大话

443: 怎么突然登不上去了？

444: 自从玩大话手机版，大话2就没有上过，因为我知道。手机版的妹妹胜过大话2。1000倍。现在我进的这个帮，帮主副帮主，长老，堂主。都是妹妹姐姐的。时不时的还能语音唱歌给我们听，手机坏了3次了我觉着玩着高兴，值了。谢谢手机大话西游。

445: 都不知什么时候有新区

446: 总结来说，游戏还行！问题是老闪退

447: 强烈建议开发出大话经典，70级可以做天庭任务，转身一次增加一个背包，做鬼任务减少点，双倍点太少了，应该改成每天6小时的双倍点，坐骑也要开发出来，没有内丹，练法宝宝有什么用？主角要增加法宝，大话2就有的

448: 游戏不错，用手机玩了近半个月，从来没有出现过闪退或者卸载了装不上的问题，一切正常，我玩电脑版的大话西游2有7年了，喜欢上了大话，可手机版的大话为什么没有延续大话2的经典？大话2中的宝宝内丹呢？为什么没了？技能中有几个像似的，这游戏明明是大话西游，为什么要抄袭梦幻的？为什么呢？泥石怪初始攻击力咋就少了100点呀，少得太多了吧，水灵仙还没变，装备重铸，想要自己想要的属性太难了，建议装备初始抗性为抗混乱

449: 现在游戏是不是进不去啦？

450: 我想知道这游戏有充值上限么，充着充着就不让充了呢？      在线等，客服出来

451: 谁能告诉我新区什么时候开

452: 还行吧

453: 到底怎么回事，为什么点一星的时候老卡，（不是手机和无线问题）。没见人就被打？

454: 很好玩，龙马到手

455: 什么鬼

456: 游戏不错就是卡死

457: 自从玩了大话，腰不疼了，腿不抽筋了，走路也有精神了！！！

458: 非常好玩的游戏

459: 竞技场卡的要死

460: 今天新服叫什么？谢谢！

461: 到底有没有新区，没有客服回话吗

462: 这游戏真不错也想玩下去，但是老闪退任务没法做，能给处理下吗？我马上就1转了。

463: 我只想说服务意识太差劲了！

464: 骗子，关注了，也发 360大话西游了，结果没激活了

465: 很气人，为什么用路由玩，到战斗就卡住，用手机网络又不会

466: 今天有没有新区啊

467: 开个游戏都不管理！  开区没公告 留言不回复……什么破平台！

468: 客服回答啊

469: 什么时候开新区？给个回答！谢谢！

470: 今天新区呢。你妹

471: 有新区吗

472: 闪退是常见问题，有凤来仪今天十一点多的时候运行缓慢，很卡，十二点半就已经登录不进去了，这游戏比梦幻西游差太多了

473: 今天的新区叫什么？

474: 什么时候开新区

475: 今天新区有没有啊

476: 闪退。。。

477: 今天有没有新区？名字跟时间

478: 什么时候开新区呀？

479: 今天有开新服吗？ 叫什么 几点开？

480: 说句实话，太坑，星有没有辅助我不知道，反正就是坑钱的游戏，游戏一半都是拖和卖打折号的！天天骗人玩新区！新区出的太快，跟手游魔力宝贝一样，新区太快，然后各种鬼区！

481: 呵呵。。。十三年大话，你们能理解什么？你知道大话承载了多少人的梦想。就知道喷，手机不好，喷，不会玩，喷，没人逼着你玩，没人逼你充钱。然并卵。

482: 请解决下地煞星的问题吧。一刷新就全部有人打。这玩家都没有看到站在NPC旁边就被打。很明显是托管辅助。你这让我们手动的玩家还怎么活。不用刷星了。看别人都仙器。这是让我们要卸载的节奏啊。真的很烂的游戏

483: 看完评论，果断卸载

484: 什么东西都要花钱 连个中秋任务也要花钱 挖宝也要花钱的宝图才能出好东西  最要命的是更新以后总是闪退和登陆不上去  这是要我卸载的节奏啊

485: 为什么之前在安卓手机玩的好好的，在用苹果就不行了？还要重新玩……郁闷啊

486: 为什么宠物不能交易，说好的高级宠物就能摆摊，可是事实却不是那样

487: 谁说的游戏不好玩的，闪退？那是你手机问题。大话挺让人怀念的，我是玩得挺爽的，考研队伍组合，还有玩家的合作沟通，要是开启玩家自由交易系统更好了

488: 又检测不到新版本了，这已经第N次了就没有出来解决下的吗，？！！！

489: 玩了两天，什么垃圾装备都没弄到一件，什么玩意都要仙玉，有钱人的游戏，而且每天任务做完了，就没地方弄点经验，弄点钱啊什么的！果断卸载！！！！？

490: 果断删除，没什么玩点！满世界都是群广告

491: 两个字：垃圾
三个字：真垃圾
四个字：真是垃圾
五个字：真是太垃圾

492: 卡、死，闪退、升级要花钱

493: 看到评论，我也是醉了。。

494: 什么时候出天庭活动？每天就那么点经验，做完就没有事干了

495: 一天闪退六次怎么回事

496: 明天有新区吗

497: 小米3一小时最少闪退三次，游戏也还有漏洞，我94级男鬼装备评价三千多可以打到竞技排名第一，每天除了做任务就不知道该干啥了，做完任务更不知道该干啥，杀星五星每半小时一只，狼多肉少，等了几天都没打到一个五星，游戏交易更坑爹，交易价格被限制，而且不能私下交易，不充钱就做什么都没人要，充钱了任务做完了也是无聊，这游戏难道就是为了挂机做任务而存在的？完了几天还真没玩懂玩这个游戏是为什么？

498: 新区什么名字来着？

499: 官网上面说的是二龙戏珠 游戏上是有凤来仪 她妈昨天等了一天靠

500: 客服出来一下昨天你们有跟新区吗更新的区叫什么名字

501: 明天有新区那

502: 开新区备注下会死啊

503: 玩的好好的，突然就不能wifi玩了，只能用流量，怎么回事

504: 三星9152老闪退，能不能给快点解决，自己想带个鬼都的考虑下

505: 昨天还有客服回答问题，今天就没有了?

506: 想看表演，+我

507: 今天官网出新区吗

508: 今天开新服么？

509: 三星9152老是闪退，赶紧给解决下，人家别人都卡，我这也太卡了

510: 今天开新区吗，弄得开什么区也看不懂

511: 我想问下，小米note2的配置真有这么垃圾吗，玩不了2分钟就死机，好好的一个游戏都没兴趣玩了

512: 恶心的任务

513: 抓鬼次数能不能少点，，一天时间全抓鬼

514: 为什么昨天还玩的好好的，今天就监测不到版本信息，进不去了？有人出来解释下吗！？？

515: 游戏还可以，没有闪退，更新过一点也不卡，可惜这游戏不是我的菜，我不是水军，是普通一个小玩家。

516: 这尼玛进不去是怎么个意思？老是系统繁忙

517: 真屎壳郎，闪退得很厉害。垃圾

518: 真不是一般的卡，是卡死爹的节奏呀！！

519: 早上8点到中午两点任务全都做完了，下午3点到晚上12无聊死了，没任物做想升级又升不聊好无聊啊啊啊啊啊啊啊啊啊啊

520: 垃圾，竟然登不进去

521: 更新后就开始卡！卡了更新了也不和以前一样给补助了！

522: 抓鬼太费时间了，把捉鬼次数剪成20次。经验给多点！

523: 鬼就别限制次数了，把线下交易弄好。俺们玩半天就是为了给网易冲仙玉吗？。。。。。弄得不太好吧

524: 玩着不错，就是登录3分钟了，就闪退

525: 弄不好就别更新，更新反倒玩不了了

526: 坑爹游戏，更新  也没个礼包，太垃圾了，昨天更新后就开始卡卡的，等级礼包又垃圾的要死，刷星又刷不出装备，反正是玩不了。有钱人的游戏。

527: 每天抓鬼20次要两个小时多，，抓鬼次数少点，经验给多点。

528: 越更新越卡，还老闪退。

529: 我到现在都没进去

530: 更新了怎么月饼都没有

531: 玩不了

532: 你们这样不负责任，以后都不在你这玩了

533: 妈的越更新越卡了闪退不能玩不要下载了

534: 游戏删除从下为什么安装不了?是你们360的问题，你们能修修不？用别的导航可以下载，但是没有我玩的区域，你们也太不负责了

535: 没十分钟救就闪退一次，还让不让玩了？ 小米note,,有这么差吗

536: 新区26号中午12点准时开放

537: 更新后到现在还没进去！

538: 为什么安装不了游戏？

539: 开新区了么，叫啥名字

540: 你们有看到新服吗？？

541: 中秋节礼包呢?国庆礼包呢?

542: 为什么刚才更新后，武器升级的效果不显示了！～～～

543: 新区不是十二点开么？

544: 刚开始玩还好好的，自从上次维护后就老闪退，能不能行啊？

545: 开新区了么

546: 游戏怎么还是上不去啊  不是11点维护结束么？

547: 问下新区什么时候出

548: 不是到十一点吗

549: 还木更新完？今天有新区没有，，，，

550: 论坛也没一个

551: 说的是11点吧

552: 更新后连接不上。并且黑屏？？干神马啊，这就是大公司干的事？？

553: 挺好的

554: 为啥系统维护了下就上不去游戏了呢，今天任务一个都没做呢

555: 能不能把抓鬼的次数降低？？？经验增多少抓几次就可以！！！尼玛每天抓鬼最少要两小时！！！玩什么屌？老子懒得充电！手机烫的要死！

556: 黑屏是怎么回事，客服赶紧解决问题阿，大伙非常期待这次更新

557: 卧槽，更新了进不去！！！！！搞什么

558: 到底是更新完了没有啊，怎么进不去啊?老说网络有问题

559: 能不能把男人敏弄上去！同意的顶

560: 客服呢，进不去黑屏，求解

561: 多久出新区

562: 进不去，黑屏

563: 他奶奶的昨天还好好了今天更新了就上不去了怎么回事

564: 卡的要死半天都没见动

565: 

566: 更新完，11点开吧

567: 怎么进不去嘛

568: 交易功能没有，结婚也没有。收徒弟也不可以，跟本就没有开发好。就急着上市啦

569: 那个角色血多输出高点啊

570: 第二次就登不进去了

571: 为什么更新完进不去了，艾玛，

572: 操了，摆摊卖个东西，所得银两GM说是非正常交易，给我扣除了，卧槽，

573: 礼包问题谁来解决一下

574: 世界说话会扣钱。。。

575: 10位数礼包才领的了

576: 礼包领取不了，只能输入10位，而激活码是12位！！！

577: 至于激活码  我一开始也是有提示不能输入  可是更是奇怪的是  我少输一个零  成功领取了  只有两朵花和一块黑石头，游戏玩的还行

578: 为什么360客户端发语音失败？

579: 星星能改善吗？花六天的时间和精力杀个六星，居然杀不到，，，尼玛我醉了    骗流量的新招吗？

580: 礼包？几个意思？解释？

581: 礼包不能领取，人家游戏里面只能输入10位数，你是12位

582: 礼包激活码12位，游戏里只能输10位，骗人的

583: 没注意在世界说了几句话，我靠钱没了！

584: 守了一天连一星毛都碰不到！！

585: 里面的人物为什么都是法的啊？喜欢力的人怎么玩？属性点+力的有么用

586: 礼包不能领

587: 国庆和中秋礼包都多了两位数字。望尽快修改。。

588: 怎么360大厅的礼包兑换不了，兑换码是12位数，游戏里只显示添加10位数兑换码，这个给个说法解释一下？！

589: 国庆中秋礼包怎么不能领呀？？？？？？

590: 服了，玩个游戏还要排半天队

591: 闪退怎么回事

592: 为什么召唤兽技能不释放？仙风道骨，和妙手回春

593: 刚打开还有动画片看

594: 为什么我的手机没有国色天香这个区？？？

595: 什么时候出新区

596: 其实开始什么都简单点好以后在加，就像大话刚出来时候，试玩了下还不错。问下新区什么试后出。

597: 我只想说游戏不错，就是为什么用流量登不上去（有时候），可以修一下这个BUG

598: 怎么删除角色

599: 今天怎么没有出新区呀？？？

600: 功能不错玩法多样，剧情跟街上的大白菜一个价，没创新走老路，刷怪刷到想吐，13岁小孩路过，系统有点卡，白痴请戴眼镜飘过。忘改进！

601: 现在用的安卓手机，不知道过几天换ios系统能不能玩

602: 我这个游戏显然是仓促上线，根本就没开发完吧？大话经典的内容几乎没有，挂一天机做完日常就发呆，可玩性太差，玩了两天已经腻了

603: 这游戏真是好啊，给我们省流量。我用流量怎么登录不了游戏了。用Wi-Fi轻松登录。我的移动4g破手机。

604: 游戏差点就算了 你TMd还每天开新服  节奏跟不上

605: 下载大话了，玩梦幻超卡，要多卡有多卡，但大话能玩不卡，内存也够了，这两游戏不能在一个手机上吗，

606: 今天怎么上不了了？

607: 不能查看队友装备怎么效率组队，充再多钱组个渣队友怎么打水陆杀寻芳爬大雁塔，95级还没打过一次星，每次都正在挑战，可附近根本没人，我怀疑工作室开辅助，世界语音聊天系统老是放AV叫声（一姑）（一姑），做完日常活动就发呆，投入金钱所得到的游戏娱乐不能成正比。

608: 87级了，杀星连个星毛都摸不到，连着守了几天，要疯的节奏！内丹某有？做天某有？坐骑某有？每天做完任务就是发呆？

609: 垃圾游戏，被坑10几年了，这个更坑，杀星全是外挂

610: 老玩家了！！今天我叫朋友来玩！玩了一下午把我喷了！
因为手游太简单了！不管什么职业，加敏就无敌了！没有鲜明的职业区别！宝宝少！法宝宝没有内丹请问有什么用？丢技能玩？升级任务少，晚玩一天级别就根本追不上了！根本没有悬念！没有变身卡！敏乱的和麻花似的！星我就没去打过！看世界骂街我就够了！本来想充值！但是还是观察观察吧！哎！！对老玩家不是温存！我朋友对我说！这游戏对于咱们老玩家来说显得太弱智了！改进下吧

611: 赶紧更新，多出点东西！

612: 那个大神知道仙女怎么加点，不要坑

613: 这几天抓鬼抓到吐了经验还很少，有没有做天宫，花果山任务啊，玩大话二都玩了十年了，现在玩手机版的大话让人很无语，玩法少，经典的玩法还少，玩到现在85级了一星都没杀过，明明周围没人的一点就说(被杀了，郁闷啊)

614: 老是跳出，打开文件都比玩的时间多。晕，求解

615: 老是闪退，搞什么

616: 那些给差评的我估计都是新手一开始接触的  我希望你们不要一开始就给出垃圾的结论  大话10几年的游戏到现在玩家都不少必定是有他的魅力的  现在手游刚出 网易肯定会慢慢的完善她的  希望大家给予支持  一个5年端走玩家路过  虽然不是很长  但是确给我留下了很多的美好的记忆  第一次得神兵 高级物品那种的喜悦感   还结识了很多的朋友 这都是大话给我的记忆   希望大家 耐心的陪大话度过每一次改变

617: 垃圾成这样。。一点都不和谐。。法伤伤不起。。被失信狂乱的小怪能把满血主怪秒杀。。还隔山带走另一个满血小怪。。跟梦幻手游没法比！还经典呢！玩了下。。。根本提不起兴趣。。。不过玩家人物造型还可以。。NPC有的就难看多了。差评！

618: 尼玛，本来给1星的给不了。回合制游戏弄成这样也是无语了。任务半天完成，打怪没经验，活动又少，想打地煞星抢不到，尼玛没见过这样游戏，冲钱都是白冲了，冲来喂狼狗了。劝大家集体卸载，不解释

619: 麻痹的电脑和手机能不要同步不！抢个星那么难！在面前都能给丢了！蹲了三天每次都这样！还有那些用电脑的傻B们！没法说你们。

620: 不花钱玩这游戏就跟孙子一样

621: 我想问下，女人转职，后面竟是垃圾，谁还敢玩女人，想玩个女人。花钱是小，玩着憋屈就没意思了

622: 喷子多，没素质的也多，举报也没用，最让人恶心的是不少表求带语音都弄到游戏上去了

623: 卸了，玩了5天就已经没兴致了，抓鬼抓到想吐，玩法太少。

624: 今天有新区吗，几点开？

625: 什么时候出新区

626: 玩了一下发现，人物在对话得时候点点击会卡，还有敌方得血量看不到，还剩多少血都看不到。

627: 每天就那几个任务，和端游差太多了。卡坑，杀不到星。无聊至极，太失望了

628: 游戏太古板，太单调

629: 挺垃圾的游戏占内存，杀不到星

630: 陋，很陋

631: 亲们淡定。跟九游版本比好的不是一点两点了。要是你们去玩九游的就知道什么叫卡什么叫坑了，这里至少还能充钱

632: 坐骑又不出，出的神兽又不出材料，太坑爹了

633: 完全就是个渣啊！我都八十二级了，连个星都没有刷过，还只刷新四个，打你妹啊，很想问制作游戏主编的是不是日了狗了

634: 星刷新的太少了，一次才四个刷个屁啊

635: 玩了十年大话了就没见过这么难杀的星，都八十多级了连一星都点不到

636: 为什么今天一连wifi就登陆不上了，手机网络就可以，换了两个手机都一样，以前都是可以的啊

637: 过场景卡得一B的垃圾游戏

638: 为什么老闪退

639: 为什么变成技能书了？宝宝的内丹哪里去了？猴精被吃掉了？

640: 小米平板，进不去服务器!已重装多次还是进不去

641: 妳魅不濕更新麽 老閃 卡死 都說改變了  喜劇玩的真好

642: 垃圾游戏都70级了还没杀过星，杀星还有限制

643: 最爛最垃圾的遊戲 不是我可以說的 喊話也扣銀子 你老爸在繫統公司上班嗎

644: 互动内容实在太差  基本在玩单机  同样是网易出品  为啥和梦幻相差一截   游戏内不高消费再玩就是在浪费时间   建议改善

645: 玩了几天回味下十年前的经典，回完味就够了，不准备玩下去，给1星是因为这是我第一款网游

646: 可以多刷几个星不？？星太少咯

647: 与端游相比这手游就是款坑钱的垃圾游戏！玩法垃圾！画面更垃圾！大家不要下这垃圾游戏占内存

648: 从开服当天一起玩，任务能做的全做了只有地煞没做完，为啥现在人家都87了，我才80-差距在哪里

649: vivo y11t 安装不了

650: 为毛没有解控技能，为毛做活动怪比玩家等级高上来就秒了。想钱想疯了吧，网易。祝你倒闭

651: 强烈要求开发猪们优化杀星。。玩了三天了，80多级，连他吗个一星都没摸着过，看着身边没人，然后星就被点了！艹啊，资深老玩家的忧伤！

652: 因为喜欢星爷，所以看了好多遍这个电影

653: 安装不了

654: 用找乐可以领礼包啊

655: 名字怎么不能改的

656: 网易 还是一如既往的黑啊

657: 就是尼玛，坑爹货，登了五六次一次上不去，用流量怎么了，流量不是网啊！

658: 为什么不是卡都是卡掉，这还怎么玩。希望服务器能改善一下。

659: 新区啥时候开？

660: 10年玩家！！！！！！强烈建议优化杀星，玩了4天一星都抢不到。看着身边没人却被抢了？？？？？？还有新区出的太快，4天的区抓鬼都没人了！！！！！！还怎么玩。失望啊……

661: 这游戏除了挂机还能干啥？

662: 为什么无线网能上流量上不去啊用流量上别的游戏网页都能上就大话上不去能解决下不我也不可能天天在家玩啊

663: 十三年大话玩家了，想当年起早贪黑起来做天，爽得很啊✘，新游戏做的不错，任务引导很简单，尤其是抓鬼，点了自动，居然不用管了，爽爽的做完100次。但是为什么70不能做天？抓鬼升级太慢了，强烈建议开天庭任务。对了，我很喜欢猴精，赶紧弄出来！一分钱没花，任务做完，等级和他们人民币战士差不多，就是银币少点，力荐老玩家来玩！

664: 垃圾游戏，这游戏跟以前端游大话差十万八千里，特么点开游戏各种动不动排队上小时，进入游戏后各种卡，那些sb别跟我说什么手机不行网络不行的，家里网络光纤，手机跑3d动作手游和以前玩梦幻都没卡过就特么这垃圾游戏卡，这明显是它小霸王服务器的问题，而且都几天了还不优化改善，评论满满的差评不是没根据的。。。

665: 很不错。。经典

666: 最垃圾的遊戲 發那麽多錢購買技能書 鎖了幾次都不能用

667: 建议新玩家玩玩，有新鲜感！老玩家继续玩？新鲜感以退色。不提倡！

668: 游戏不错，挺怀念以前的，但是我手机怎么总是卡掉，做任务点一下伤不起啊

669: 为什么没有猴精呢求解还有任务可以不老是给圣兽丹

670: 土豪游戏吗？

671: 非常好的游戏强烈推荐大家咱不费钱还好玩

672: 非常好玩的游戏强烈推荐大家来玩绝对不烧钱

673: 好比梦幻还好

674: 算是玩的最久的手游了

675: 本人大话2资深玩家，花钱自己也不记得多少了，充电卡，卖点卡，这5天玩了下手游，一星都没过，点不到，我身边都看不到有玩家的存在，什么玩意啊？不怕花钱玩，你们网易能不能好好的做游戏呢？

676: 星刷的太难了，快80了现在一星还没有过郁闷，不过蛮好玩的，想知道可以开到几转？

677: 果然还是不好玩，新区很难进，

678: 为什么进不去，，，，，，

679: 为什么不可以搬到内存卡里

680: 服务器卡的动不了，想冲都不敢充钱

681: 什么时候开新区啊

682: 为啥老是闪退啊

683: 为毛我的手机安装不得，VIVO Y13

684: 画质比梦幻好点

685: 为什么我现在进不去了？

686: 装不上  给差评

