1: 能不能增加点有意思的副本或者活动，好多节日连个活动都没有，时间久了会腻的

2753: 有抽奖是不是骗人的

2754: 就两个字～好玩

2755: 这个游戏真的是大棒了大好玩了。

2756: 这个游戏真心不错。。。

2757: 不错的游戏，支持

2758: 这个游戏很不错，再多加副本

2759: 闪退闪退闪退！！！

2760: 还可以

2761: 唉唉无语了

2762: 怎么老闪退呀

2763: 怎么删除人物啊

2764: 草，辛苦攒了好几天才有400元宝，一上线就剩31个了，GM怎么回事

2765: 还可以，多岀点副本就更好玩

2766: 为什么我买了那个福袋打开后却没有没人？

2767: 没钱不要玩

2768: 这tm托真多

2769: 托，全是托

2770: 很好玩  多出点副本就好了

2771: 游戏画面清新亮丽、视觉效果炫彩夺目、关卡任务模式和道具系统丰富多彩，让简简单单的手指操作变得生动可玩。挺不错的游戏

2772: 点赞点赞啊。

2773: 好玩，太好玩了啊！力荐！我一分钱没冲，现在40多级，许多rmb玩家都没我厉害！

2774: 好玩啊，玩到不想睡觉了。

2775: 挺好玩，就是如果手机配置不好就别玩了，我只是内存不太够就卡

2776: 玩了几天了，对这款游戏有了初步的认识。

2777: 什么时候有这么好的游戏，第一次发现，顶

2778: 好多人都关注这款游戏，玩的人太多了。以前玩魔兽的时候排过队，没想到天龙又重现了魔兽的辉煌

2779: 总体来说这款游戏能让你想起电视剧里的情节，还行。

2780: 好游戏啊 画面也很好 打击感也强

2781: 嘿嘿天龙里有，嘿嘿

2782: 音乐古香古色的，女孩子最爱。

2783: 美人系统好有特色， 不错。

2784: 《天龙八部3D》采用2.5D锁定视角和全3D唯美写实的美术风格，野外风景秀丽，技能华丽展现，无论是青山绿水，还是闹市街区都总有一种强烈的代入感，将玩家很好的带入到不一样的武侠世界，更好的融入到游戏，体会到独特的游戏体验。

2785: 很激烈，很过瘾

2786: 好玩，可以消磨时间使，哈哈哈

2787: 人物各有各个的个性。

2788: 很带感的游戏

2789: 感觉不错，没有卡机，比较流畅，必须5星

2790: 一直在关注这家公司的产品。

2791: 再好玩的游戏，也有会有来人黑。这款游戏也不例外。

2792: 游戏公司还是用心了的，游戏总体感觉还行，可以玩一玩。

2793: 感觉很不错，手游做到这个可以给赞！

2794: 丰富的剧情，古色古香的音效。配合着美丽的画面。柔美舒适，把我们带进了金庸的武侠世界。

2795: 大神f2完美运行.说不能玩的都是手机不行应该

2796: 越玩越好玩，有挑战性，很爱这款游戏！

2797: 感觉天龙挺好玩的，休闲娱乐不错的选择。

2798: 上班途中，在公交车上玩几把，哈哈爽爆

2799: 很好越来越好！力挺

2800: 各路兄弟大家一起玩啊

2801: 画面是没的说；画面风景很好；

2802: 这游戏不错值得玩一玩

2803: 极力推荐大家玩

2804: 福利好多，今天收礼包都收到手软了。

2805: 游戏给满分你们说的情况我都没！

2806: 家里停电了不能wifi,跑到kfc玩的

2807: 太好玩了，天天都想玩

2808: 很好的游戏！再接再厉

2809: 背景好有带入感～玩着也很热血啊

2810: 玩的都有点停不下来了～哦do开

2811: 同类游戏中，这款是相当不错的了。！

2812: 游戏画面清新亮丽、视觉效果炫彩夺目、关卡任务模式和道具系统丰富多彩，让简简单单的手指操作变得生动可玩。挺不错的游戏

2813: 人物、剧情都带走浓厚的金庸味道，如果你是金庸武侠迷，这款游戏不容错过。

2814: 想和性感的萌妹子一起并肩作战吗？想体验连击的快感吗？想感受4K级高清画质吗？

2815: 喜欢动作RPG的童鞋，值得入手，就像喜爱IPHONE6一样。

2816: 玩着很好玩 喜欢

2817: 这款游戏的视频效果做的太炫了，真不错。

2818: 赞！画风棒棒的。

2819: 比较有动力，，哈哈，挺好玩的

2820: 游戏是好游戏

2821: 超级好玩！找小伙伴一起玩⊙▽⊙

2822: 此游戏的系统还是相对比较完备，宠物、奖励、社交等等系统都是标配，还有一些很亮眼的系统，比如说美人系统，话说，这可是可以将所有遇到的妹纸都收归自己囊中的哦。不但这样，美人还可以有阵法系统，不同的阵法搭配还能发挥美人不同的效果，没事**一下也不错哦。

2823: 相当不错的游戏了 手机里就这个游戏了 其他的全部卸载

2824: 战斗特效好炫酷啊

2825: 由最开始同事一人玩，发展成我三个个表姐，表姐朋友，男朋友，一大群人玩这个了。。。

2826: 这游戏是我玩的时间最长的游戏了不错不错，希望能出交易系统啊

2827: 下载完.画面看起来不错！

2828: 灰常的不错，建议大家可以下载试试。

2829: 坐地铁时候玩，感觉时间过得很快，也就不寂寞了

2830: 这个游戏很好，我打副本都能获得紫卡，太赞了，只玩只玩这一个游戏，不玩第二个。

2831: 正在游戏中。。目前感觉良好，可以持续游戏。

2832: 游戏不错，福利也不少，奋斗吧，骚年。

2833: 现实生活中找不到的强者的感觉在这里可以找到，我当然爱个游戏了。

2834: 连招爽，暴击多。

2835: 我玩的时候服务器一登就上来了，游戏画面和打击感非常强！你们手机不好网络不好就别来喷游戏！

2836: 清新的画面，以及不错的打击感，特别是逍遥这个职业，我特别喜欢，作为一个萝莉控，感觉不玩这游戏。简直对不起我大叔这个称号

2837: 那个职业最厉害。我想玩最厉害的那个。

2838: 炫酷的大招，入迷加上瘾。

2839: 还不错，挺喜欢的

2840: 欧拉，不错呦，没事时候就玩玩呗

2841: 真正的平民游戏，很好?。基本不要花钱就能玩的很爽

2842: 那种满满的暴击，让人陶醉

2843: 首先是故事情节！受小说影响，比较喜欢！然后是画面，内容等各个方面！

2844: 好玩啊，玩到不想睡觉了。

2845: 真特么的好玩，力顶啊

2846: 朋友介绍我来玩这游戏的，没让我失望

2847: 赞的的，挺好玩，但是在难度简单一点就好了

2848: 剧情不错 很有带入感

2849: 好玩，画面好看

2850: 为什么我可以玩呢？ 我也没有闪退啊，闯关，对战都没问题 我就普通红米

2851: 大家的选择是正确的，你值得拥有，哈哈，好

2852: 确实不错！顶，人物形象设计的很好。

2853: 说真心话，这确实是我玩过的一款比较好玩的游戏，

2854: 真3D，轻操控，多段连击！天龙五星必须的！

2855: 游戏的氛围和节奏我很喜欢

2856: 做为一个大牌的游戏公司，很重视游戏的版权，

2857: 游戏很好玩，很给力。期待越办越好！

2858: 我重来没有这么爱玩一个游戏?、我离不开它的生活

2859: 一不小心下载了天龙八部后就根本停不下来，太好玩了，

2860: 游戏里有丰富的玩法，和方便快捷的系统帮助，有代入感强烈的主线剧情，也有激情无线的玩家争斗，所以不要再犹豫了，赶快进游戏好好体验一番吧！！

2861: 喜欢那种强烈的打击感

2862: 好，前面我手机的问题不能登录，我就差评了，现在就来补个好评

2863: 游戏不错，给32个大拇指。

2864: 挺好上手的，跟着主线就行了，不错

2865: 新区求小伙伴一起

2866: 畅游的游戏我一直看好，这次也没有让我失望。

2867: 经典游戏真好玩，一天不玩愁要玩。

2868: 喜欢华丽的画面。

2869: 技能，太棒了好炫。

2870: 哪个人物好？

2871: 最好玩的手游，，

2872: 新手好上手，跟着提示就行了。

2873: 还真不错，速度快，界面清爽。

2874: 很赞，，不错画面唯美技能华丽

2875: 画面感不错，挺喜欢这个游戏的。

2876: 玩起来很带劲，恢常喜欢。

2877: 好好好，太好玩了 ，终于等到你了，和电脑版的天龙差一多一样的游戏，有可以闯关，画面清晰。有的人啊 你的烂手机玩不了就别侮辱这个游戏，有问题的不是游戏，而是你那台死人烂手机啊。

2878: 特有挑战性，必须点赞五星必须哒，

2879: 超喜欢这游戏的体力设定，游戏超赞，打斗画面超炫，并且适合平民玩家

2880: 人物形象与我想像中的一样，画面很赞。

2881: 挺剌激.游戏速度好棒！还可以切换视角模式

2882: 哇，预感这个游戏肯定要火，真心好玩。

2883: 好好玩呀，每天期待升级

2884: 英雄技能很华丽，画面特别好，给个赞

2885: 游戏技能很酷，装备很给力

2886: 还不错，刚下了感觉很好玩，场面很刺激，推荐试试。。。

2887: 还真不错求秘诀啊，怎么我老是输啊

2888: 力荐！打发时间的神器

2889: 画面非常好，要是职业多点更好。

2890: 貌似很多人都在玩，我也玩吧

2891: 越来越有挑战了。加油。

2892: 超棒啊！！！！

2893: 玩了好长时间，玩不腻。。

2894: 运行无压力的飘过～游戏还可以～玩着不错

2895: 人各有所爱，我比较喜欢天龙的画风

2896: 还是很喜欢这样的游戏的、

2897: 人物很有创意啊，太好玩了

2898: 多连击，真快感！天龙啥也不多说，五星！

2899: 苹果用户的童鞋没骗我，这游戏真心可以逆袭啊

2900: 玩一玩，打发打发时间，

2901: 业界良心哇

2902: 总体来说还是挺好玩的

2903: 挺好玩的一款游戏

2904: 昨天玩了会，天龙手游与端游很相似，很好上手，以后没事的时候会玩会的。

2905: 没有垃圾游戏。只有垃圾玩家。往后玩行不。杀人看走位。谁SB呵呵的站那让你无敌打？？？至少我觉得游戏挺好

2906: 不过，建议大家玩。不过希望可以该个交易系统就更爽了

2907: 我要自创门派，感受一下这游戏的魅力 。

2908: 我只想说！！有的没玩明白的，在这瞎他妈说啥啊！回去好好看看，再来评论！！不喜欢玩的，别说托多，难道说好玩的人都是托吗？难道在游戏里的，都是托吗？

2909: 伴随着剧情的发展，游戏的场景一直在变化。还穿插了好多小插曲，好玩极了。

2910: 没钱混不动

2911: 有钱人的天下。

2912: 瞎掰，那是你们手机的问题……

2913: 草你妈、老子打了半天、你给我系统错误、经验减少

2914: 表示运行无压力，也不卡，技能也炫酷，就是刷怪的人太多了，哈哈

2915: 破游戏
家里满格wifi登不上，非得是数据流量
流量又卡  嚓

2916: 每次卡着退出再进就进不去了
他？妈？的？是想一天只玩一次么
退了再进每次都是链接服务器失败

2917: 今天刚开始玩，一个字，灰常卡，不卡还行

2918: 真卡。。。

2919: 我用的是小米4，4G网络平均网速为800kb每秒最高可达1M多比一般的wifi还快，玩起来还卡成那样，直接删了！

2920: 艹怎么老闪退奇了怪了

2921: 破游戏进了，N次进不去

2922: 怎么不能安装

2923: 怎么不能安装

2924: 相当好，就是时间长了会觉的单调无聊

2925: 破游戏进了，N次进不去

2926: 真的用起来不错哦！

2927: 相当好，就是时间长了会觉的单调无聊

2928: 那些说抽到美人却没有的，你怎么不看背包里面？

2929: 怎么不能安装

2930: 相当好，就是时间长了会觉的单调无聊

2931: 烂游戏去死吧

2932: 明明抽到木婉清，人物里面却没有

2933: 明明抽到木婉清，人物里面却没有，GM到底怎么回事？

2934: 求礼包

2935: 老是秒退

2936: 来找我交朋友，我在176区，名字叫羽羽·大贝勒

2937: 破游戏进了，N次进不去

2938: 今天怎么进不去啊

2939: 不准时开服啊

2940: 英雄技能很华丽，画面特别好，给个赞

2941: 游戏技能很酷，装备很给力

2942: 还不错，刚下了感觉很好玩，场面很刺激，推荐试试。。。

2943: 还真不错求秘诀啊，怎么我老是输啊

2944: 力荐！打发时间的神器

2945: 画面非常好，要是职业多点更好。

2946: 貌似很多人都在玩，我也玩吧

2947: 越来越有挑战了。加油。

2948: 超棒啊！！！！

2949: 玩了好长时间，玩不腻。。

2950: 运行无压力的飘过～游戏还可以～玩着不错

2951: 人各有所爱，我比较喜欢天龙的画风

2952: 还是很喜欢这样的游戏的、

2953: 人物很有创意啊，太好玩了

2954: 多连击，真快感！天龙啥也不多说，五星！

2955: 苹果用户的童鞋没骗我，这游戏真心可以逆袭啊

2956: 玩一玩，打发打发时间，

2957: 业界良心哇

2958: 总体来说还是挺好玩的

2959: 挺好玩的一款游戏

2960: 昨天玩了会，天龙手游与端游很相似，很好上手，以后没事的时候会玩会的。

2961: 不过，建议大家玩。不过希望可以该个交易系统就更爽了

2962: 我要自创门派，感受一下这游戏的魅力 。

2963: 我只想说！！有的没玩明白的，在这瞎他妈说啥啊！回去好好看看，再来评论！！不喜欢玩的，别说托多，难道说好玩的人都是托吗？难道在游戏里的，都是托吗？

2964: 伴随着剧情的发展，游戏的场景一直在变化。还穿插了好多小插曲，好玩极了。

2965: 好玩，我巴巴麻麻可喜欢玩这个游戏了您的赞美就是给作者最大的回报，觉得好就表扬TA一下吧。

2966: 这个爽！红米Note运行顺利！

2967: 我玩的级别较低，但真的很有意思啊。天龙的感觉真棒啊！

2968: 五星不解释

2969: 设计的很有特点，很用心，

2970: 祝天龙玩家多多，像小苹果一样红红火火，开创手游新高！

2971: 四个门派里那一人最好玩。

2972: 非常好玩，我非常喜欢

2973: 很好玩哦很好玩，非常棒，赞！与电脑游戏有一拼的感觉。

2974: 是个耐玩的好游戏

2975: :华丽。求攻略，求秘籍，求降低难度，好想通关啊。

2976: 这个游戏很棒，休闲的时候可以玩一玩。

2977: 天龙八部电视，小说都看了好几遍了，因为喜欢就来玩这个游戏了

2978: 好玩，比那些标题党的卡牌游戏好多了

2979: 很好玩！第一次找到自己真心喜欢玩的游戏！

2980: 为什么这么屌

2981: 赞的的，挺好玩，但是在难度简单一点就好了

2982: 好玩，真好玩，特别好玩，不是一般的好玩。

2983: 太棒了，非常喜欢

2984: 超赞，很有挑战性。

2985: 很久没有热衷于一个游戏，现在全家人都在玩，而且个个都很上瘾

2986: 刚开始我玩疯了，早起第一件事就是打开天龙八部，老婆还为此跟我吵架，现在好了，她也迷上了，哈哈

2987: 游戏画面很不错……魅族MX4运行无障碍………可是体力实在是不够用啊！！！！…其他的都还不错……团队副本相当考验技巧

2988: 好玩，真好玩，特别好玩，不是一般的好玩。

2989: 下载了之后，回来评论一下

2990: 还不错，和电脑上的差不多

2991: 客观点说，场景、内容、战斗都没的说。

2992: 刚进入游戏，开头的音乐还不错，之后开始游戏，发现不管是游戏情节设定还是人物设定，都很给力，最后让我最赞叹的还是战斗画面，网游能做到此，真让人佩服。总结：游戏总体上很不错，值得引荐。

2993: 我玩的就挺好，这游戏真的还可以

2994: 没事就都两把。

2995: 音乐好古典 ，不错。

2996: 我就喜欢有挑战的

2997: 很好玩！支持！

2998: 很久没这么认真的玩一款手游了

2999: 技能好吊画面超酷。

3000: 游戏神奇，说不好的滚蛋，实话就是土豪多了点

3001: 还可以吧，手游都差不多，不过画面不错，

3002: 这个游戏挺好玩的，玩的有点累了

3003: 今天开始玩的，类似的游戏有很多，但是这个是我玩的最有趣的！现在我都动员我们全家一起玩啦！加油！

3004: 畅游公司做过网游的天龙八部，再做手游，那更是小菜一碟。

3005: 好玩！爽死了！从上午一直玩到现在了。

3006: 很好玩的一款游戏，平时无聊的时候玩这个不错，还可以闯关，最喜欢这样的

3007: 老少咸宜哇，都爱上啦，小表弟老是霸者我手机

3008: 一直做任务很单调，这游戏增加了好多小趣味，感觉很好哟。

3009: 很不错的一款游戏，给个五星。

3010: 游戏挺不错，很好玩，室友都在玩

3011: 刚下载完，感觉不错！手机网游中最棒的

3012: 3d效果很漂亮，顶一个

3013: 相当不错，祝福下，多添加些互动玩法！

3014: 几关打下来还是不错的，留着啦。

3015: 技能啦超炫

3016: 炫酷的技能，精美细腻的游戏画面，生动的人物形象强烈的打击感及金庸爷爷带来的羁绊感，使游戏变得更加吸引玩家，这是我认为天龙八部最吸引人的地方

3017: 终于找到一个好游戏了！

3018: 好评，我的大神能完美运行，不错的画面！

3019: 真好玩，不给五星对不起这游戏呀！

3020: 我是新手，呵不知道到时候好不好操作。

3021: 支持支持这么好的游戏，我当然要支持了

3022: 玩了好几天了，挺好玩的，

3023: 树大招风呀，游戏好玩了，喷子们也就随之而来了，那些无故喷人的人，也不怕天打五雷轰吗。

3024: 这么好的游戏~你造么？

3025: 挺不错的游戏，5星好评！

3026: 在我看来这个游戏还是不错的，值得下载，。。。。。。。。。。。。。。。。。。。。。。。。。。 。。

3027: 手机游戏里算不错的了。

3028: 游戏玩的好刺激～尤其是玩PK～玩的就是热血！

3029: 一个好游戏先在于他的画面和配音，这点觉得还可以！然后个人觉得游戏里的系统玩法好！

3030: 宿舍姐妹都在玩，上课还偷偷玩，哈哈

3031: 绝对经典的一个游戏，

3032: 目前国产手游最高水平了吧

3033: 五星，希望能越做越好

3034: 由最开始同事一人玩，发展成我三个个表姐，表姐朋友，男朋友，一大群人玩这个了。。。

3035: 我就喜欢这样的画面，不像那些Q版人物，

3036: 太棒了，非常喜欢

3037: 超好玩

3038: 好玩

3039: 好玩

3040: 也可以在pp语茵看看有喜欢的，每天和你聊你喜欢的话题。

3041: 挺好玩的

3042: 想要领先别人一步？想要超人一等？请同学们下载360
官方工会的公测客户端http://gh.u.360.cn/union/i/id/11466
 点击加入工会 下载客户端 直接在这个网址申请数十种豪华礼包.

3043: 不错。玩的第一个手机网游。就是耗电很厉害啊

3044: 不错

3045: 昨天玩了会，天龙手游与端游很相似，很好上手，以后没事的时候会玩会的。

3046: 没有垃圾游戏。只有垃圾玩家。往后玩行不。杀人看走位。谁SB呵呵的站那让你无敌打？？？至少我觉得游戏挺好

3047: 不过，建议大家玩。不过希望可以该个交易系统就更爽了

3048: 福利好多，今天收礼包都收到手软了。

3049: 游戏给满分你们说的情况我都没！

3050: 家里停电了不能wifi,跑到kfc玩的

3051: 太好玩了，天天都想玩

3052: 很好的游戏！再接再厉

3053: 背景好有带入感～玩着也很热血啊

3054: 玩的都有点停不下来了～哦do开

3055: 同类游戏中，这款是相当不错的了。！

3056: 游戏画面清新亮丽、视觉效果炫彩夺目、关卡任务模式和道具系统丰富多彩，让简简单单的手指操作变得生动可玩。挺不错的游戏

3057: 人物、剧情都带走浓厚的金庸味道，如果你是金庸武侠迷，这款游戏不容错过。

3058: 想和性感的萌妹子一起并肩作战吗？想体验连击的快感吗？想感受4K级高清画质吗？

3059: 喜欢动作RPG的童鞋，值得入手，就像喜爱IPHONE6一样。

3060: 玩着很好玩 喜欢

3061: 这款游戏的视频效果做的太炫了，真不错。

3062: 赞！画风棒棒的。

3063: 比较有动力，，哈哈，挺好玩的

3064: 游戏是好游戏

3065: 超级好玩！找小伙伴一起玩⊙▽⊙

3066: 此游戏的系统还是相对比较完备，宠物、奖励、社交等等系统都是标配，还有一些很亮眼的系统，比如说美人系统，话说，这可是可以将所有遇到的妹纸都收归自己囊中的哦。不但这样，美人还可以有阵法系统，不同的阵法搭配还能发挥美人不同的效果，没事**一下也不错哦。

3067: 相当不错的游戏了 手机里就这个游戏了 其他的全部卸载

3068: 战斗特效好炫酷啊

3069: 由最开始同事一人玩，发展成我三个个表姐，表姐朋友，男朋友，一大群人玩这个了。。。

3070: 这游戏是我玩的时间最长的游戏了不错不错，希望能出交易系统啊

3071: 下载完.画面看起来不错！

3072: 灰常的不错，建议大家可以下载试试。

3073: 坐地铁时候玩，感觉时间过得很快，也就不寂寞了

3074: 这个游戏很好，我打副本都能获得紫卡，太赞了，只玩只玩这一个游戏，不玩第二个。

3075: 正在游戏中。。目前感觉良好，可以持续游戏。

3076: 游戏不错，福利也不少，奋斗吧，骚年。

3077: 现实生活中找不到的强者的感觉在这里可以找到，我当然爱个游戏了。

3078: 连招爽，暴击多。

3079: 我玩的时候服务器一登就上来了，游戏画面和打击感非常强！你们手机不好网络不好就别来喷游戏！

3080: 清新的画面，以及不错的打击感，特别是逍遥这个职业，我特别喜欢，作为一个萝莉控，感觉不玩这游戏。简直对不起我大叔这个称号

3081: 那个职业最厉害。我想玩最厉害的那个。

3082: 炫酷的大招，入迷加上瘾。

3083: 还不错，挺喜欢的

3084: 欧拉，不错呦，没事时候就玩玩呗

3085: 真正的平民游戏，很好?。基本不要花钱就能玩的很爽

3086: 那种满满的暴击，让人陶醉

3087: 首先是故事情节！受小说影响，比较喜欢！然后是画面，内容等各个方面！

3088: 好玩啊，玩到不想睡觉了。

3089: 真特么的好玩，力顶啊

3090: 朋友介绍我来玩这游戏的，没让我失望

3091: 赞的的，挺好玩，但是在难度简单一点就好了

3092: 剧情不错 很有带入感

3093: 好玩，画面好看

3094: 为什么我可以玩呢？ 我也没有闪退啊，闯关，对战都没问题 我就普通红米

3095: 大家的选择是正确的，你值得拥有，哈哈，好

3096: 确实不错！顶，人物形象设计的很好。

3097: 说真心话，这确实是我玩过的一款比较好玩的游戏，

3098: 真3D，轻操控，多段连击！天龙五星必须的！

3099: 游戏的氛围和节奏我很喜欢

3100: 做为一个大牌的游戏公司，很重视游戏的版权，

3101: 游戏很好玩，很给力。期待越办越好！

3102: 我重来没有这么爱玩一个游戏?、我离不开它的生活

3103: 一不小心下载了天龙八部后就根本停不下来，太好玩了，

3104: 游戏里有丰富的玩法，和方便快捷的系统帮助，有代入感强烈的主线剧情，也有激情无线的玩家争斗，所以不要再犹豫了，赶快进游戏好好体验一番吧！！

3105: 喜欢那种强烈的打击感

3106: 好，前面我手机的问题不能登录，我就差评了，现在就来补个好评

3107: 游戏不错，给32个大拇指。

3108: 挺好上手的，跟着主线就行了，不错

3109: 新区求小伙伴一起

3110: 畅游的游戏我一直看好，这次也没有让我失望。

3111: 经典游戏真好玩，一天不玩愁要玩。

3112: 喜欢华丽的画面。

3113: 技能，太棒了好炫。

3114: 哪个人物好？

3115: 最好玩的手游，，

3116: 新手好上手，跟着提示就行了。

3117: 还真不错，速度快，界面清爽。

3118: 很赞，，不错画面唯美技能华丽

3119: 画面感不错，挺喜欢这个游戏的。

3120: 玩起来很带劲，恢常喜欢。

3121: 好好好，太好玩了 ，终于等到你了，和电脑版的天龙差一多一样的游戏，有可以闯关，画面清晰。有的人啊 你的烂手机玩不了就别侮辱这个游戏，有问题的不是游戏，而是你那台死人烂手机啊。

3122: 特有挑战性，必须点赞五星必须哒，

3123: 超喜欢这游戏的体力设定，游戏超赞，打斗画面超炫，并且适合平民玩家

3124: 人物形象与我想像中的一样，画面很赞。

3125: 挺剌激.游戏速度好棒！还可以切换视角模式

3126: 哇，预感这个游戏肯定要火，真心好玩。

3127: 好好玩呀，每天期待升级

3128: 英雄技能很华丽，画面特别好，给个赞

3129: 游戏技能很酷，装备很给力

3130: 还不错，刚下了感觉很好玩，场面很刺激，推荐试试。。。

3131: 求秘诀啊，怎么我老是输啊

3132: 还真不错!!!!!!!!!!!!

3133: 力荐！打发时间的神器

3134: 画面非常好，要是职业多点更好。

3135: 貌似很多人都在玩，我也玩吧

3136: 越来越有挑战了。加油。

3137: 超棒啊！！！！

3138: 玩了好长时间，玩不腻。。

3139: 运行无压力的飘过～游戏还可以～玩着不错

3140: 人各有所爱，我比较喜欢天龙的画风

3141: 还是很喜欢这样的游戏的、

3142: 人物很有创意啊，太好玩了

3143: 多连击，真快感！天龙啥也不多说，五星！

3144: 苹果用户的童鞋没骗我，这游戏真心可以逆袭啊

3145: 玩一玩，打发打发时间，

3146: 业界良心哇

3147: 总体来说还是挺好玩的

3148: 挺好玩的一款游戏

3149: 昨天玩了会，天龙手游与端游很相似，很好上手，以后没事的时候会玩会的。

3150: 没有垃圾游戏。只有垃圾玩家。往后玩行不。杀人看走位。谁SB呵呵的站那让你无敌打？？？至少我觉得游戏挺好

3151: 不过，建议大家玩。不过希望可以该个交易系统就更爽了

3152: 还可以吧

3153: 超好玩，但有一点复杂，太多选择了。

3154: 今天什么情况卡死了！190区！网旁边都显示的红色！

3155: 为啥现在2G网玩不了了

3156: 喜欢操作 竞技游戏的人不建议玩这个，这个操作灵活度很差，几乎按了攻击键 他自己就会一直打下去   没什么操作感觉   还有，这个游戏很多托。全部都是夸游戏好的

3157: 游戏玩累了就玩会pp语音，和妹子调下情什么的，很有意思！

3158: 超棒啊！

3159: 烧钱的，

3160: 我坚持的最久的游戏了～很好玩就是难度越来越大呃。加油

3161: 不错，是我玩过最好玩的手游了

3162: 同学介绍让我玩下试试，真的不错

3163: 越玩越有意思，具有一定的挑战性！超喜欢！赞一下！

3164: 真的挺好玩的，特别喜欢这类的游戏

3165: 3D画面做的很精细啊～玩着都不卡呢

3166: 游戏好不好玩，一是看画面，二是看技能，再就是有没有同伴，这款游戏都有了。

3167: 不容易啊，不充钱都能领到橙装，果断良心之作

3168: 画面操作感都都很很到位

3169: 同类游戏中，这款是相当不错的了。

3170: 《天龙八部3D》最吸引我的是精美细腻的画面

3171: 画风什么的比其他游戏强多了。

3172: 这游戏还行，不太烧钱

3173: 角色扮演真好玩。我最爱玩这类游戏。

3174: 这款游戏能让你到了行侠仗义，行走江湖的感觉。

3175: 擦，技能好炫。

3176: 总体来说各个方面做的都不错。

3177: 吸引我滴是精彩滴剧情跟很清晰的剧情，还有最重要就是杀人

3178: 比以往的游戏有特色

3179: 下载得不后悔。

3180: 一年了，就这游戏好。唯一来评论的游戏。

3181: 在同类游戏中算不错的，最少可以认真的玩下去，攒一下吧

3182: 我觉得很好玩啊，这个游戏不好玩，你们还要玩什么游戏啊?

3183: 最爽的是，我可以自创门派别人，我也可以称老大。

3184: 最喜欢那里的小情趣 ，打任务烦了，玩一玩很有意思。

3185: 设计的很合理啊。

3186: 玩电电脑里的天龙再玩这个游戏，熟悉的很。

3187: :流畅，操作简单

3188: 要啦个基友一起玩！！哈哈哈

3189: 游戏好  就是是好耍

3190: 很好玩 就是没交易功能，还有邮件功能

3191: 只要你足够强大，每个玩家都可能成为江湖“大佬”

3192: 以前玩天龙端游 ，现在当然要接着玩 了，

3193: 很有创意，这游戏里有新的玩法。，国产手游的大制作了~

3194: 去，要不要这么好玩，都上瘾了，手指都在发抖

3195: 原汁原味纯正体验

3196: 每天玩到手机没有电。。。太好玩了

3197: 游戏不错，网络要求高

3198: 正在下嘿嘿看样子很好玩。

3199: 金庸的最正宗的游戏，独家拥有金庸的版权。

3200: 游戏确实还行，，很带感

3201: 好玩！力荐！好游戏不用说，值得玩，不费钱，不像有些游戏。

3202: 绝对牛掰，和电脑一样，支持完美

3203: 不错，很省流量

3204: 打发无聊时间的神器，赞！

3205: 估计是服务器被挤爆了，不得不说游戏不错，

3206: 还多朋友都在玩，别人推荐我的，确实不错！

3207: 玩了很久的天龙八部，画面很唯美，手机版一如既往，还有那些熟悉的副本，都会让人回忆到以前刚玩天龙那会，

3208: 太好玩了力挺，非常喜欢这类型，感觉很爽。

3209: 我就喜欢有挑战的

3210: 很好玩，画面美

3211: 游戏不错终于有个好手游，祝福游戏越来越好

3212: 我重来没有这么爱玩一个游戏?、我离不开它的生活

3213: 和网上那一堆无聊的卡牌游戏比起来的话我觉得真心不错，大家可以试试，玩起来运行流畅，反正我是没有遇到其他人评论的那样

3214: 很不错，是我见过手游里面画质最高，看来玩手游就得玩3D的。

3215: 越玩越有意思，具有一定的挑战性！超喜欢！赞一下！

3216: 很有创意，这游戏里有新的玩法。，国产手游的大制作了~

3217: 画面不错，人物动作流畅。

3218: 天龙八部这四个字最吸引我，比较喜欢网游天龙八部，很怀念。

3219: 很好玩啊。

3220: 超级好玩的游戏

3221: ?最喜欢这画风了，角色进游戏有一个飞身跳过悬崖的景，简直帅呆了。

3222: 游戏玩得很顺手，是我喜欢的那种。

3223: 挺好的，可以用来打发时间

3224: 水墨风格好个特色。

3225: 畅快的连招，绚丽的画面，玩游戏就是要人玩的爽，而不是被游戏玩的爽！！！

3226: 不错 挺方便

3227: 值得一玩，不全是土豪的世界。

3228: 太好玩了！！！O(∩_∩)O

3229: 越玩越好玩，有挑战性，很爱这款游戏！

3230: 还有就是游戏丰富的系统了，美人、酒馆、宠物、时装、坐骑玩法多多

