1: 我发现这游戏有漏洞，可以刷车和钻石还有币，我都刷了不少，车全刷完了。

1793: 操，帐号登录毛都没了

1794: 动不动就要钱，你们掉钱眼里吧！

1795: 玩了个把月居然玩不了..不要下

1796: 没有你真不行了

1797: 好玩

1798: 好玩，就是到后面需要花钱

1799: 卡出400000000颗钻

1800: 很好很好，非常棒，这里是跑车，很有趣。

1801: 挺漂亮的,给五颗星

1802: 说免费的啊！付费啊！但游戏很好！！！

1803: 做游戏要的是良心，你们昧着良心做事迟早会遭报应的。

1804: 给个礼包

1805: 短信扣了8元钱买道具，然后游戏就打不开。你们这就是所谓诚信?

1806: 很好很好

1807: 真棒。。。

1808: 给力。。

1809: good

1810: 還不錯！

1811: 我喜出望外

1812: 好多了用了太久了，！非常不错。!

1813: 挺不错的。。。

1814: 很好阿   一直在用

1815: 真是太好了，用了好久了！！

1816: 不错，比较喜欢

1817: 和白色的机身很配

1818: 之前還玩得了現在居然登不上去了。。。。。。。

1819: 可以

1820: 完美！

1821: 相对来说蛮好用的，一直都在用！

1822: 很好，顶。还可以自己设置。

1823: 用着还不错。

1824: 试一试

1825: 很好

1826: 坑人

1827: 不错

1828: 省时省力省流量的好应用啊，赞个。。。

1829: 很给力

1830: 怎么设置的？期待告知？

1831: 很好

1832: 充值后钻石到不了帐

1833: 非常好，里面铃声很多，给力

1834: 试试

1835: Very Good

1836: 我用漂移升到顶及，加速也不能达到960，这不是骗人吗!

1837: 真有意思

1838: 大爱！！

1839: 不错哦

1840: 不好，不要下

1841: 可以嘛还是可以

1842: good

1843: 很好呀

1844: 还行

1845: 很好

1846: 特别好用，

1847: 你不用怎么知道不好用呢？？真不错的

1848: 94%闪退，闪卡

1849: 不知道怎麽样 ，下来看看

1850: 蛮漂亮滴！

1851: 还好

1852: 相当不错我一直用它

1853: 好用

1854: &gt;一不能接电话我草

1855: 一直再用

1856: 不错。

1857: 我喜欢，支持

1858: 垃圾，一开网络就让下载其他应用，关不掉，坑爹啊

1859: 真的很实用。

1860: 还没来得及看呢

1861: 三星手机完美运行！

1862: 很不错啊？呵呵，菜鸟啊。为甚末对战每次起步都是其他三个全加速呢？还总是第一排有人物图像后排确是问号呢？为甚末自己总是右排第一个？假的吧，啊？

1863: 没太好，希望能改进。

1864: 为什么进不去了？！

1865: 你们都说不好，哪里不好了啊？？完全免费的嘛

1866: 为毛游戏进不去呀！

1867: 很好！！

1868: 臥槽為什麼充錢後打不開了

1869: 牛X，很好

1870: 不错啊

1871: oh my god,会闪退

1872: 还好吧

1873: 挺好玩的，不过早上还能玩下午就不能玩。怎么啦？

1874: 不错很好用，很强悍的软件

1875: 用了好久了.感觉非常给力

1876: 顶！很好

1877: 很好玩.可是今天打不開了為什麼？

1878: 挺好用

1879: 卡卡，不好

1880: 不错的

1881: 冲了一百，  没用   大家千万别下！！！！！！！！！！！！！！

1882: 太好了，我终于找到了！！

1883: 很好用嚄！

1884: 没意思，都通关了

1885: 蛮诗意的，不孬！

1886: 刚开始还可以，到第二关就开始逼你交钱才可以玩了

1887: j可以

1888: 很好用

1889: 棒。

1890: 喜欢用

1891: 妈的垃圾上了我六块大洋

1892: 为什么我手机加载不了~下不了动画啊？

1893: 给孙子包了30块钱红包！就不小心那么一下就扣了大爷30元！

1894: 非常好玩玩

1895: 坏蛋！刚刚开始就被他骗了6块大洋！

1896: 非常好

1897: 冒牌

1898: 手机更新完再玩又是从头开始那之前的装备都死哪去了？

1899: 挺好的

1900: 还好还好

1901: 我去。垃圾游戏。玩着玩着就登录不上去了。真垃圾

1902: 支持国产！

1903: ↖不错→

1904: 不错呀！玩得挺好得

1905: 很不错，但是设置好怎麽没声音阿，蛋疼，

1906: 为什么都玩了一个月了，今天打不开了

1907: 比之前的好用多了，支持

1908: 用了好长时间了！好

1909: 不错

1910: 用了好久了，真不错！

1911: 看看吧

1912: 还行吧!o_O

1913: Ok

1914: 马屁，登不上去了

1915: 灰常好

1916: 我喜欢

1917: 这个软件用了好久了，一出来就用了，很好用，一直没舍得删除！！！支持下、

1918: 好模糊

1919: 4.0用不了

1920: happy

1921: 太帅了！A500完美运行

1922: 不错

1923: 创意+美感=力荐  ;)

1924: 很好玩，我喜欢

1925: 这发明者也太聪明了太优秀了佩服

1926: 很好用     给力

1927: 很好

1928: 不错

1929: 增加了分享功能，不错哟。

1930: 感觉还行

1931: 好用

1932: 很好玩⊙▽⊙

1933: 我也来试试，

1934: 好玩

1935: 昨天充了錢今天就打不開了。。。。

1936: 什么破游戏，怎么昨天刚买了跑车，今天就进不去了，什么玩意

1937: 很唯美作者很用心

1938: 要网吗

1939: 不错

1940: 非常不好!差劲!差爆了!快点从我的面前消失

1941: 太好玩了

1942: 刚下不知道好不好用

1943: 不错，

1944: 给力点

1945: 要网吗

1946: 好东西

1947: 不错

1948: 灰常给力………

1949: 很漂亮！顶一下！

1950: 给力，好喜欢

1951: 强烈支持啊

1952: 软件工作稳定，效率高，很实用，

1953: 不错

1954: 应该还可以

1955: 速度快！用着也顺手！

1956: 好好玩

1957: 很好,不错,太经典了。

1958: 非常的好

1959: 我用的好好的！！！

1960: 很给力，我一直都在用

1961: 给i力

1962: 这么好的软件，不支持真没天理了啊！！顶顶顶。。。。。。。。

1963: 真的很不错，漂亮极了，推荐！

1964: 我喜欢。支持

1965: HD7完美运行

1966: 贼好玩、说不好玩的都是脑残

1967: 很好用

1968: 真不错

1969: 神应用！！

1970: 我进前10名了O(∩_∩)O

1971: 无聊滴想哭

1972: 怎么老是闪退？？？？

1973: 挺好正在使用<br/>

1974: 不错啊很好

1975: 很好用

1976: 同学推荐的  用了之后  没想到效果不错  强力推荐

1977: 美感太爽

1978: 好用，点心加油

1979: 不错，简直是好玩中的战斗机！^~^

1980: 不错，很好用

1981: 好看是好看,可是却设置后没有声音,太遗憾了。

1982: 我用是可以地！

1983: 真是神应用啊

1984: 这算是好的了。

1985: 好东西大家分享

1986: 怎麼不可以用啊？不爽

1987: 和电脑一样     爽！！！

1988: 挺好的

1989: 很好用

1990: 更好用

1991: 非常好，还有水声

1992: 嗯嗯。…。图个心里，安心。。

1993: 很不错啊

1994: 真的好玩啊哈哈！！！！！！！

1995: 他妈打不开！！！

1996: 晚上突然打不开了，郁闷！！！

1997: 玩到一半闪退，玩着挺爽

1998: 真的不错，不给五星都不是人

1999: 为什么从昨晚就打不开了！！！

2000: 超好

2001: 不错

2002: 这个游戏还行

2003: 挺好的

2004: 草，骗钱的玩意，充了钱什么都没有的，几块钱爷赏你全家买棺材去！

2005: 额，手欠，花了十五元

2006: 中兴u880没问题，很好玩

2007: 很好用

2008: 很好

2009: 呵呵

2010: Very good

2011: 部错

2012: 不好，你有这么穷么

2013: 值得一用

2014: 傻逼游戏（︶︿︶）=凸哎╯﹏╰一辆车不是几百万就是≡百多钻

2015: 推荐给大家使用啊，觉得不错。

2016: 支持一下

2017: 玩到第四章之后就必须要充钱买好车了要不然根本玩不下去 一星都嫌多

2018: 果然没有让我失望

2019: 我的红色传奇就是牛逼！

2020: 昨晚邓超好好玩啊哈哈 来玩玩游戏看看

2021: 我喜欢邓超

2022: 我是车神原来的名字不错啊 这个有点略长  嘿嘿 还是一样好玩的了 ，顶一个嘛

2023: 充了1O元没用！！！别下！！！！！

2024: 游戏的画面什么的都很好

2025: 跑男和车神的集合哦！有意思啊！

2026: 上次的奖品到了哦！！！

2027: 决战首尔进去的时候，有时候需要等会

2028: 喜欢韩版节目！也顶咱们中国的游戏一下~

2029: 我喜欢看running man玩这个游戏有种看撕名牌一样的快感，很好，强烈推荐！！！

2030: 最喜欢我玩有意思的赛车游戏了，和名厂大作比乐趣也还不算低呢。

2031: 我喜欢跑车，只要是跑车就行！

2032: 我最喜欢anglea啦~~~~哈哈哈

2033: 节目里都推荐了，肯定不错的！

2034: 在家开跑车，能和手感配合一下就更棒了！

2035: 高端大气上档次，低调奢华玩车神

2036: 要是能装饰自己的赛车就好了

2037: 我都玩全关了有没有弟二部

2038: 跑车360观看赞啊！

2039: 该应用简直“神”来之作，强烈推荐！

2040: 我喜欢火凤凰

2041: 刚看完节目看到广告了，就下了个玩，质量不错啊

2042: 赛车游戏太棒了！

2043: 在家开跑车，能和手感配合一下就更棒了！

2044: 总的来说，还是不错，场景多一点就更好了，休闲游戏。

2045: 还不错，尤其是漂移的画面感很棒。

2046: 无聊ing….玩车神就对了

2047: 刚看完节目看到广告了，就下了个玩，质量不错啊

2048: 加速的效果真的是炫酷啊

2049: 我最喜欢anglea啦~~~~哈哈哈

2050: 要敦煌行吗

2051: 好评，跑的太过瘾了

2052: 大爱车神

2053: 为了男神女神！！！

2054: 玩起来感觉不错，游戏道具其实很多，车辆的显示很漂亮，可以购买的东西很多，其中还不时举行争霸赛活动，很刺激，游戏里车辆引擎的轰鸣声，让你有真正驾驶赛车狂飙的冲动，不过，屌丝买高档赛车，呵呵(^_^)，我也就想想而已！！

2055: 游戏内那个活动，使使劲弄个话费卡吧 哈哈

2056: 好玩

2057: 动不动就闪退

2058: 不好玩。

2059: 秋名山无压力啊！

2060: 垃圾

2061: 本来就喜欢竞技类的游戏，玩的也比较多，这款游戏紧追潮流，人物画面都不错，喜欢，大爱

2062: 大家千万别下。他妈的，扣了钱-，就闪退，在回到游戏里，毛都没有，

2063: 不太好玩儿

2064: 想要去那个韩国游

2065: 打都打不开

2066: 游戏中能看到我偶像啦！

2067: ?什么时候对战才开启啊

2068: 好  好  挺好

2069: 最喜欢我玩有意思的赛车游戏了，和名厂大作比乐趣也还不算低呢。

2070: 突然就打不开了，不好，玩不了

2071: 为了奖品啊！

2072: 不要走，决战到济州啊！

2073: MB的，为啥又是闪退

2074: 跑车能再高端点就好了

2075: 能玩很久的好玩的赛车手游

2076: 特别好玩

2077: 游戏内那个活动，使使劲弄个话费卡吧 哈哈

2078: 上班开小差我也得跑一圈

2079: 棒极了!

2080: 刚充了15块，就闪退

2081: 我的天使！我的BABY!

2082: 大黄蜂变身！

2083: 进不去

2084: 居然还有农用三轮车！哈哈哈

2085: 我是跟风党，不玩的话没有共同话题啊

2086: 一直在玩，虽然花了些钱，但玩起来还是很不错，很喜欢

2087: 闪退啊，都打不开。

2088: 跑男们开赛车

2089: 爱车神爱生活哈哈

2090: 电视每期必看，现在游戏出来了熬夜玩

2091: 我想要决战首尔的奖品

2092: 很好玩，不过谁有准星啊，准星牛不，我就差4个紫色火种

2093: 决战首尔非常不错啊

2094: 错、挺好、就是跑的时候车和跑道有点偏、车不在跑道中间、感觉别扭、跑不好

2095: 还行，但是还有很多要改进的地方

2096: 现在已经忽略了手机里的其他游戏

2097: 节目里都推荐了，肯定不错的！

2098: 跑起来~你能赢!

2099: 奔跑起来吧 车神

2100: 我要努力攒名牌换大奖！

2101: 期待跑男们啊！

2102: 从很早以前就开始玩赛车类的游戏，而最近又在看追看奔跑吧兄弟，非常喜欢里面的明星，看到自己喜欢的明星代言，也看到了这款游戏的用心，毫不犹豫的下载，并且叫朋友也来玩。

2103: 身边的都人都在玩，我也下载一个试试

2104: 传奇的惊世之作！

2105: 邓超的头像太帅了～

2106: 游戏蛮不错的，跑道清晰，车子很完美，还可以变身?

2107: 还有变形金刚？爽

2108: 画面简直非常炫酷啊

2109: 因为车神还专门去看了一遍running man

2110: 数据再刷机后就没了！

2111: 玩车神的我，经常忽略了偶地女盆友

2112: 我喜欢baby！

2113: 这个游戏太好玩了

2114: 好玩

2115: 超好玩，我其实是为了Baby和李晨！

2116: 老是闪退

2117: 还行 不错   要是有修改器就更好了！！

2118: 我最崇拜邓超了！超强！强力推荐！

2119: 老闪退

2120: 我是跟风党，不玩的话没有共同话题啊

2121: 给力

2122: O了

2123: 很好玩

2124: 很好玩哈哈哈哈汽车可以变形：我最爱大黄锋15元已经买了：还有3个可以变形的过几天一一买了：爽真的好玩5星

2125: ?好车全买了，，变形的也全买了

2126: 垃圾游戏卧槽，冲钱什么东西都没给，找客服处理，一直叫等答复我操

2127: 我去他妈的，冲了50结果毛都没有，找客服等了一天都没结果

2128: 为什么老是闪退啊？但我还是挺喜欢跑男的。五颗星！

2129: 还好

2130: 气人，下不了

2131: 爽爽爽！我卡了无线钻石，呵呵呵。

2132: 想看武汉

2133: 游戏很好但是什么东西买不了

2134: 太好玩了！

2135: 要是有韩版人员出来一起比拼就好了

2136: 神啊，一定五星

2137: 好玩！什么时候更新啊

2138: 还有变形金刚？爽

2139: 无聊ing….玩车神就对了

2140: 不好玩。

2141: 赛车游戏的经典！

2142: 嗯还不错，渣操作也能玩哈哈

2143: 周末打发无聊时间真心不错的呢，赞一个。

2144: 车神新版的呀，更新过了玩了还不错呢

2145: 哥们说一起玩个赛车游戏 就这个了 ！

2146: kkk2623272

2147: 不错

2148: ●▽●为了和老公一起玩我也是蛮拼的。

2149: 哇，我免费抽到了1万多我是，不漱口做啊，我操，金逼哟，万一换了吧说什么？

2150: 女朋友玩的比我还狠啊 怎么活！

2151: 震动感觉不错

2152: 太赞了，我竟然抽奖抽到了红色传奇，我玩很长时间了，抽到了无数辆豪车，有一天竟奇迹般的免费得到了4000000000多宝石，花不完，快来下载吧！

2153: 邓超是大英雄不错

2154: 宝哥的声音依然那么有喜感！

2155: 首尔首尔

2156: 活动刷起来

2157: 说好的陈赫呢，好男人就是我

2158: 女朋友玩的比我还狠啊 怎么活！

2159: 我喜欢李晨！

2160: 还行，有时候闪退

2161: 我想要豪车

2162: 下载中，希望好玩

2163: 宝强那个形象还是挺逗的呀

2164: 超哥，超帅有木有！

2165: 陈赫有吗有吗！！

2166: 这次车神更了个大版本哦~感觉和跑男结合应该会不错

2167: 宝哥画的好帅 哈哈哈

2168: 有大奖吗？之前拿到过话费卡，这次又来了！

2169: 为了男神女神！！！

2170: 为了济州岛拼了

2171: 决战首尔玩法不错呀 还有济州岛呢

2172: 有济州岛活动呢！拼了老命了！

2173: 大爱车神

2174: 加速的效果真的是炫酷啊

2175: 决战首尔非常不错啊

2176: 哼，不就是跑酷么？拜托！你别以为那么好玩，其实狗屁都不如！我的评分是很差，全劝大家不要玩，一点都不好玩=  =。

2177: 花了30块钱，别居然没给我，求解释

2178: 起好玩呀！

2179: 好好玩啊，永远支持跑男！！！

2180: 很好

2181: 好玩

2182: 卸载不了，我都等了好长时间

2183: 太好晚了，什么时候才会更新呐

2184: 哇咔咔，大赞一下

2185: 很好玩!速度快！！！！！！！！好好好

2186: 我擦，竟然闪退！有没有人性！

2187: 好好好！我有很多vip 车。

2188: 为什么黄金宝箱车神活动还木有开始   网上其他的车神为什么已经开始了  难道360上的是盗版？

2189: 我所有ViP的车都有了，其它车我也有！！！！

2190: 传奇九十名，通关了，就是闪退，望改进

2191: 好好

2192: 进不去

2193: 哈哈，刚刚卡住了。。。。没想到把钻石卡到了40多万

2194: 垃圾死了，一点都不好玩。

2195: 真是不好玩，一开始的时候就突然跳出了一些在黄色网站里的东西，咦，好恶心噶，见到就想呕，你们千万不要下，儿童不宜啊，有时候还开不了了，好恨这个游戏，以后都不玩了
不想再说些什么了。...............................................................................................................

2196: tm闪退小王子啊艹

2197: 好玩，但是玩一半又重新玩了，大家千万不要下

2198: 有点不好玩╮(╯▽╰)╭

2199: 卡爆了进不去

2200: 太好玩了就是指令员有袓蓝就好了。

2201: 不好
卡爆；

2202: 太好了  大家快下  如果下了双死你

2203: 还可以，但重装以后买的车没了啊!

2204: 没有之前的那版好

2205: 好玩吗?

2206: 黄金猎鹰太屌

2207: 差评，游戏打不开，重装游戏买的车没了

2208: 差评，擦，坑人，玩着玩着就打不开了，让重新下载重新玩，买的车和钻都没了，客服也不给个解释。操

2209: 不咋地，有时卡到爆了

2210: 好玩

2211: 好！这游戏很好。

2212: 陈赫最牛

2213: 好玩吗

2214: 好玩不?

2215: JJL,5211314，游戏不错。

2216: 不错，挺好的

2217: 操，解释下，老子刚买了600颗转就不能玩了>_<

2218: 不错，挺好玩的

2219: 要网还放单机里

2220: 楼下和楼下的楼下都是我，我牛逼不？??你们太
??????????????了！！！！！！！！！

2221: 很好玩，楼下也是我！！！！！！！！！！！！！！！！！！！！！??够厉害吧！！！！！！！！！我的
?

2222: 我有大黄蜂满级，红色传奇9级每小时618km

2223: 不错呀！控制也很good！其他的赛车游戏一动方向键转弯就得撞上～～

2224: 为啥卸了重下以前的东西全没了？

2225: 我擦，车开两步卡三步

2226: 玩儿了快一个月了，现在打不开游戏了，真是一款好玩儿的游戏！！！！

2227: 总是玩十几天就打不开了～已经重新下载了两次，都是这样，无语～

2228: 不是的，要联网

2229: 我充了700多块钱，爽翻了

2230: 是单机的吗

2231: 之前可以，现在打不开了？嘛情况！

2232: 下载不了ioj

2233: 打不开啊！！！！！！！

2234: 完美闪退

2235: 黑不错的一款游戏，我都耍翻版了！！！

2236: 千万别下  靠 都说点游戏图标反应，客服你问了又没决解 你们程序员就这点水平吗？ N久了尼玛

2237: 好好好好好

2238: 很好玩！赞

2239: 不咋地！

2240: 挺好玩的

2241: 我遇得到哦好卡

2242: 没劲     一得紧紧的方尽快

2243: 没劲

2244: 为什么每次进的时候总退出来

2245: 完美运行！所有花钻石的车我都买了！而且所有的关我都过完了！挺不错就差兑换那个绿色变形金刚了

2246: 好好 去下破解版更好了

2247: 游戏之前还好好玩呢。忽然就打不开了！！！

2248: 真的很好玩哦，我要成车神。

2249: 没意思

2250: 太太太太太太太太好玩了

2251: 一点都不好玩，还卸载不了

2252: 很好玩！！！！！但我买了个15元F1赛车，第二天就打不开了

2253: 天天飞车更好玩

2254: 自己看着办

2255: 世上最好的游戏

2256: 进都进不去？坑爹！推荐大家最好别下！

2257: 不能玩...

2258: 英伦一、i

2259: 擦尼玛，能不能行了，也不出来解释下怎么回事，坑人呢吧。

2260: 这两天突然就打不开了，刚买了车和钻啊o(╯□╰)o还能不能好好玩耍了〒_〒

2261: 太伤人了，太坑爹了，太呢玛卑鄙了，老子玩了有一个月了，突然就打不开了，老子再也不玩了

2262: 很好玩的一款手游

2263: 刚刚加载完显示100％后，就自动关闭了

2264: 好好好好好

2265: 还没玩呢？就打不开

2266: 为什么打不开了

2267: 什么情况，没个人出来说明一下怎么打不开吗。

2268: 怎么个情况，让不让玩了，早上好好的怎么就打不开了

2269: 这垃圾游戏，他妈的，刚冲钱买完车子，重新打开游戏又是从头开始，骗钱的

2270: 很不错！~(≧▽≦)/~啦啦啦

2271: 各位大神，有没有别的办法呀，怎么才能再打开游戏呀。玩的好好的，怎么就打不开了呢。

2272: 太好玩啦！哈哈哈哈哈哈

2273: 艹，打不开

2274: 真的不错哦

2275: 怎么打不开了呀？早上还好好的。

2276: 用跑男狂飙或重一点的车来撞

2277: 很好啊，我用漂移一分钟摧毁100辆车，比赛一分钟几百万上下。

2278: 怎么进不去？

2279: 卡在第三章摧毁70辆车

2280: 苹果6，完美运行

2281: 。。打不开。。怎么玩啊

2282: 收拾收拾

2283: 第三章尼玛一分钟摧毁70辆车   怎么办

2284: tmb的玩不了

2285: 垃圾

2286: 十分好玩，好玩得要命

2287: 操她妈B，玩了三个多月了什么车基本上有了，今天一上游戏什么也没有了。我只能说真他妈逼的坑爹货。

2288: 呵呵

2289: 陈赫要我转告你们:你们讲儿摆不好玩安

2290: 昨天玩的好好的，怎么今天就打不开了尼！

2291: 咋天玩的好好的，今天一早tmd打不开了，什么jb游戏，坑爹呀

2292: 太次了，我就玩了一次，就玩不了了

2293: 我数据没有了

2294: 是很好玩 不过我的数据没有了

2295: 我一分钱没花，直接开启所有的，所有所有的车

2296: 陈赫叼很衰

2297: 挺好玩的

2298: 说这个游戏不好玩的都不会玩，那么好玩的一个游戏被你们侮辱了，其实，我觉得也是花钱很多的

2299: 这款游戏玩着很不错

2300: 我玩决战首尔的时候WLAN3格还一直加载，破游戏！！！

2301: 诈骗人的游戏！各位不要买游戏里的道具！

2302: 不好玩，别下

2303: 你们那闪退是手机问题

2304: 超级好玩，游戏免费。

2305: 自己感觉不怎么的

2306: 更新不了，版本不同

2307: 怎么打不开啊

2308: ................................................

2309: 陈赫是不是很帅！帅的话那就赞一下我??

2310: M游戏老是过几天就打不开，买的东西都被坑了

2311: 还能玩吗？老闪老闪的，

2312: 靠，更长新完，玩一会就闪出，玩个屁

2313: 千万别下

2314: 我爱这游戏

2315: 打不开的，怨你手机差，别怨人游戏不好；扣钱的，怨你不会操作，别怨人游戏不好！

2316: 各位玩家千万不要勾买游戏里的东西，否则你铁定后悔！

2317: 垃圾游戏，我投诉没门，坑了我的钱无法要回来。

2318: 工商部门要管一下了，游戏太坑人了。

2319: 差极了！对杭模式简直是造假！

2320: 垃圾，又卡又进不了,垃圾货，不要下

2321: 一个下午弄掉了18块钱，其中10块钱还丢得无缘无故，玩的人要注意不要太激动，一激动错点付费的话就直接扣钱，完全没提醒你是否支付

2322: 我卡出了用不完的钻石，太爽了！

2323: 典型国产游戏，干啥都收钱，

2324: 赞。

2325: 太好好好好好好好好好好好好好好玩！！

2326: 还不错我现在车神排名45不过车神宝箱
甚么时候在重开啊0

2327: 垃圾游戏而且骗人的钱！

2328: 骗人的游戏，我用了钱买里面的东西玩了几天，游戏居然打不开。重新下载前面买的东西不见了，重新买过，它竞然收了钱不给我物品。

2329: 这......

2330: 好玩

2331: 好耍，我都耍反版了

2332: 倍爽

2333: 还可以

2334: 还不错，我很喜欢

2335: 很好玩    我的手机不会闪退    三星是中国好机子

2336: 什么游戏，我之前过的关和装备，不小心把游戏删除了，重新下载 安装登陆之后，什么都没有了。这什么破游戏啊！

2337: 什么破游戏，老是自动删档！不刷机也删档

2338: 八核手机能玩

2339: 用金币买10w的车后，本来打算下次玩，然后…现在打开不了游戏，完美闪退。

2340: 垃圾，又卡又进不了，耗了我30几流量？垃圾货，不要下

2341: 好好好好好好

2342: 不好玩。。我是全国第一，这游戏玩久了没兴趣了。。

2343: 垃圾骗钱的游戏。两次充钱后就无法进入了！操！

2344: 这游戏是不是挂了，一直进不去

2345: 我去，太坑了吧，玩了将近一个月，最近打开我是车神妈的弹出来的是360卫士，就算植入广告也不用这么赤裸裸吧，直接进不去了，点开是360手机卫士，太坑了吧。。

2346: 什么抗人游戏，我充钱后就不给进了

2347: 好玩极了，就是勒芒太快，hold不住啊

2348: 之前还没事，进入后会弹出去，东西没了。擦！

2349: 花了钱结果没看到金币，被坑了！

2350: 内存太小了  ，   好玩

2351: 点不开   呵呵

2352: 为什么打不开了呀

2353: 很差的游戏，玩几次就进不去了

2354: 不错
哈哈哈

2355: 进不去的都是手机烂，不会玩就别玩，我觉得挺好

2356: 电影蛮好看的，给好评！

2357: 骗小孩的破玩意

2358: 昨晚玩还好好的，现在為什麼打不开游戏了？官方怎么回事啊？

2359: 玩了几天后居然打不开了

2360: 一开始还挺好玩，后来为毛特么打不开了？！艹，急死了

2361: 玩的好好的今天进不去了，之前的努力都白费了，真坑人

2362: 怎么打不开，求高手指导

2363: 我怎么更新过对战也没有呢，一直维护中

2364: 好玩不错

2365: 挺好玩的，我现在是全国第八名

2366: 又卡，关卡又坑人，还有bug，居然有一辆车1级比15级漂移还快，我去！

2367: 艹，什么垃圾，充了钱现在进不去，打不开！什么玩意，还有这些代理的垃圾明星！！

2368: 为什么打不开，求哥指点指点

2369: 我前段时间还可以进现在进不去了我还冲了几百元啊坑啊!!!!!!!!!!!!

2370: 不错

2371: 开始那几关很好过，到后来不买车或道具压根儿就过不去

2372: 这游戏有点难不过很好玩赶紧下载吧很好玩我要点100个赞!!!????很赞的!!???!!!!

2373: 好玩吗

2374: 登陆不上去啊

2375: 卡，但我卡出几千钻

2376: 登不进去了，

2377: 那个对手的车子就是幻影车手，系统车，它想让你第一就第一，不给你第一你就做个二吧，不过呢，我已找到对付系统车的方法了。

2378: 我对战时，有个对手的车子没见过，商店什么地方都没有，1级完爆我漂移15级。后来欠话费了，充了100块，竟然进不去了！这都是第2次了！！！！！！！

2379: [塞翁],点击[ http://pinyin.cn/e2006 ]查看表情

2380: 完美闪退

2381: 垃圾中的战斗鸡   ，极品垃圾，花钱买了很多车，然后就不能登入了

2382: 我有所有车

2383: 打开的时候好卡

2384: 买了VlP的车好几辆，然后进不去了，垃圾

2385: 玩玩进不去了，垃圾。

2386: 为什么签到领钥匙领不到呀？

2387: 我有准星，飘移，斯特拉。。。没什么好车

2388: hao!!!ding!!!

2389: 进不去
呀

2390: 进不去

2391: 打开的时候有点慢

2392: 游戏是不错，但一不小心就会点到购买，，失误买到很多次，建议玩时开飞行模式！

2393: 不好玩

2394: 我免费红包抽了个斗牛

2395: 垃圾！！！

2396: 晕为什么进不去啊。啊啊啊啊为什么啊

2397: 呵呵哒我的存档呢，我没卸载没清除数据，存档就那么没了，还我剧毒斗牛，还我特斯拉，还我准星，本来全都过了怎么存档一下tm都没了

2398: 很好玩，很逼真，力挺，值得下载。不玩会后悔哦(⊙o⊙)哦

2399: 好玩     超级好玩

2400: 为什么进不了游戏

2401: 闪退

2402: 什么玩意、老闪退。

2403: 要是有angelbaby就好了

2404: 又上不去

2405: 根本打不开

2406: 我*，这游戏居然打不开了，肏尼玛

2407: 评论是用来称赞的，那些人别闲的吐槽！＠(￣-￣)＠

2408: 太好玩了，说不好的都是傻逼

2409: 今天怎么进不去了呀

2410: 非常喜欢一款终结跑车3

2411: 非常棒

2412: 根本就进不去

2413: 超赞

2414: 我的评论呢？

2415: 太贵画质有点差。总体还行。谁叫我喜欢看跑男呢～

2416: 尼玛，下了删不掉，搞毛线的啊

2417: 都不能加一点关和我是车神有什么区别一模一样

2418: 9级小欧15级准星输给了超级甲壳虫…………

2419: 我花了15元买了Angelbaby作领行员，手机短信提示购买成功。但实际啥也没有？这不是耍人吗？

2420: 才花了100多所有变形车和S级车全有，太爽了。。。哈哈哈哈哈哈哈哈哈哈哈哈哈哈！！！！

2421: 怎么打不开了啊啊

2422: 太坑 我用cp抽到了辆车。没给我。客服给个说法、老子就是不冲钱怎么了？抽到都不给、那你设个抽奖有鸟用？

2423: 我艹买了个八元礼包居然没有，短信提示购买成功这不是坑人嘛

2424: 什么玩意？

2425: 为什么进不去？？？？

2426: 很不错，挺好玩，就是轮胎加载太慢了

2427: 坑爹买辆斗牛第二天变冠军之剑，反应没人理

2428: 玩几天怎么就打不开了啊

2429: 为什么进不了游戏

2430: 妮玛老闪退

2431: 今天为射门进不去了

2432: 尼玛，打不开了

2433: 这游戏什么时候有柯尼塞格了，一级就跑赢我漂移15级

2434: 用废卡就行

2435: 闪退的估计是运行内存低了

2436: 还可以

2437: 为什么闪退

2438: 什么破游戏进不去

